bookingId,user_id,flightId,bookingDate,statusId
1,379,190,2025-06-13 21:36:09.717520,8
2,92,135,2025-07-14 00:36:09.717520,8
3,551,289,2024-12-31 14:36:09.717520,8
4,199,44,2025-11-07 21:36:09.717520,8
5,848,498,2025-09-27 17:36:09.717520,8
6,793,420,2025-08-24 23:36:09.717520,10
7,973,294,2025-03-31 01:36:09.717520,8
8,809,463,2025-11-30 11:36:09.717520,8
9,1059,410,2025-09-19 07:36:09.717520,11
10,302,62,2025-07-17 15:36:09.717520,10
11,343,498,2025-03-18 16:36:09.717520,8
12,868,41,2025-11-14 23:36:09.717520,8
13,303,428,2025-09-30 18:36:09.717520,8
14,138,45,2025-06-17 03:36:09.717520,8
15,668,439,2025-04-21 02:36:09.717520,8
16,26,403,2025-11-24 05:36:09.717520,8
17,860,58,2025-06-30 14:36:09.717520,8
18,1205,299,2025-01-20 13:36:09.717520,8
19,207,403,2025-04-26 03:36:09.717520,10
20,842,136,2025-06-15 06:36:09.717520,8
21,1248,243,2024-12-19 15:36:09.717520,8
22,295,317,2025-10-08 07:36:09.717520,8
23,80,203,2025-05-19 08:36:09.717520,8
24,974,472,2025-04-16 21:36:09.717520,8
25,621,160,2025-04-23 01:36:09.717520,10
26,202,498,2025-03-26 14:36:09.717520,8
27,908,397,2025-05-13 18:36:09.717520,8
28,1239,331,2025-01-14 16:36:09.717520,8
29,834,380,2025-08-06 02:36:09.717520,10
30,116,264,2025-02-19 12:36:09.717520,8
31,1038,207,2025-02-08 02:36:09.717520,10
32,60,89,2025-03-08 16:36:09.717520,9
33,511,17,2025-07-21 11:36:09.717520,10
34,408,141,2025-06-07 00:36:09.717520,8
35,254,349,2024-12-15 17:36:09.717520,8
36,1217,229,2025-03-01 01:36:09.717520,8
37,717,177,2025-02-21 18:36:09.717520,8
38,186,146,2024-12-14 22:36:09.717520,8
39,1172,400,2025-03-19 17:36:09.717520,8
40,424,138,2025-10-29 23:36:09.717520,8
41,19,243,2025-02-06 06:36:09.717520,8
42,18,115,2025-04-09 05:36:09.717520,8
43,626,365,2025-11-29 06:36:09.717520,8
44,772,437,2025-05-28 00:36:09.717520,8
45,956,155,2025-11-12 02:36:09.717520,9
46,814,300,2025-01-21 10:36:09.717520,8
47,767,288,2025-10-28 05:36:09.717520,8
48,612,351,2025-01-25 01:36:09.717520,8
49,567,328,2025-05-15 18:36:09.717520,8
50,612,97,2025-02-15 02:36:09.717520,8
51,117,413,2025-10-03 22:36:09.717520,8
52,287,370,2024-12-14 06:36:09.717520,8
53,606,133,2025-07-02 22:36:09.717520,8
54,73,299,2025-11-28 04:36:09.717520,8
55,703,372,2025-11-30 17:36:09.717520,8
56,975,465,2025-11-08 21:36:09.717520,8
57,349,431,2025-11-02 03:36:09.717520,8
58,200,242,2025-02-04 09:36:09.717520,8
59,1145,391,2025-03-04 07:36:09.717520,10
60,183,114,2025-05-30 17:36:09.717520,8
61,629,216,2025-05-18 21:36:09.717520,8
62,603,238,2025-01-30 01:36:09.717520,8
63,1196,298,2025-10-13 12:36:09.717520,8
64,399,257,2025-01-31 07:36:09.717520,8
65,612,212,2024-12-27 14:36:09.717520,8
66,411,176,2025-06-28 04:36:09.717520,10
67,938,74,2025-05-11 08:36:09.717520,8
68,166,250,2025-05-20 06:36:09.717520,11
69,642,325,2024-12-29 10:36:09.717520,8
70,429,390,2025-02-25 04:36:09.717520,8
71,1003,403,2025-01-14 14:36:09.717520,8
72,880,207,2025-07-08 01:36:09.717520,8
73,78,274,2025-03-13 09:36:09.717520,8
74,29,457,2025-05-14 02:36:09.717520,8
75,9,321,2025-04-06 17:36:09.717520,8
76,706,160,2025-02-04 13:36:09.717520,8
77,1206,157,2025-02-23 12:36:09.717520,9
78,611,486,2025-04-28 00:36:09.717520,8
79,1222,269,2025-05-21 23:36:09.717520,10
80,275,176,2025-08-07 21:36:09.717520,8
81,338,486,2025-06-24 10:36:09.717520,8
82,269,109,2024-12-12 04:36:09.717520,8
83,253,188,2025-11-30 06:36:09.717520,8
84,769,449,2025-10-23 18:36:09.717520,8
85,100,305,2024-12-25 07:36:09.717520,8
86,41,25,2025-11-18 13:36:09.717520,8
87,779,64,2025-09-06 18:36:09.717520,8
88,314,106,2025-11-21 07:36:09.717520,8
89,617,216,2025-11-03 13:36:09.717520,8
90,553,319,2025-10-07 08:36:09.717520,8
91,215,262,2025-10-12 13:36:09.717520,8
92,218,255,2025-03-12 05:36:09.717520,8
93,539,426,2025-08-24 16:36:09.717520,8
94,840,152,2025-02-20 11:36:09.717520,8
95,426,353,2025-08-03 20:36:09.717520,8
96,27,344,2025-01-14 13:36:09.717520,9
97,1012,77,2025-01-16 02:36:09.717520,8
98,208,464,2025-04-11 06:36:09.717520,8
99,607,136,2025-07-25 11:36:09.717520,8
100,358,448,2024-12-20 19:36:09.717520,8
101,641,219,2025-01-28 13:36:09.717520,10
102,94,5,2025-02-09 07:36:09.717520,8
103,674,184,2025-07-13 05:36:09.717520,8
104,191,191,2025-05-24 15:36:09.717520,8
105,820,493,2025-07-21 18:36:09.717520,9
106,980,410,2025-07-04 06:36:09.717520,10
107,342,58,2025-02-06 08:36:09.717520,8
108,327,54,2025-07-02 04:36:09.717520,8
109,1166,348,2025-07-12 15:36:09.717520,8
110,735,314,2024-12-15 07:36:09.717520,10
111,268,248,2025-08-06 13:36:09.717520,10
112,903,24,2025-01-01 18:36:09.717520,8
113,26,361,2025-11-13 02:36:09.717520,8
114,1181,371,2025-09-15 17:36:09.717520,11
115,693,266,2025-08-25 08:36:09.717520,8
116,196,222,2025-11-04 09:36:09.717520,8
117,709,340,2025-11-12 06:36:09.717520,8
118,1144,457,2025-10-09 11:36:09.717520,7
119,322,259,2025-07-29 01:36:09.717520,10
120,154,385,2025-08-08 20:36:09.717520,8
121,570,26,2025-08-16 17:36:09.717520,8
122,776,207,2025-03-30 12:36:09.717520,8
123,1174,230,2025-01-15 01:36:09.717520,8
124,244,255,2025-10-30 10:36:09.717520,8
125,845,19,2025-09-12 03:36:09.717520,7
126,187,406,2025-10-06 05:36:09.717520,8
127,1042,288,2025-03-16 06:36:09.717520,8
128,699,187,2024-12-27 17:36:09.717520,9
129,680,287,2025-10-14 05:36:09.717520,8
130,745,367,2025-07-19 13:36:09.717520,8
131,455,2,2025-05-23 21:36:09.717520,9
132,598,281,2025-08-24 21:36:09.717520,8
133,94,460,2025-02-23 01:36:09.717520,8
134,839,55,2025-04-10 05:36:09.717520,8
135,248,477,2025-06-19 16:36:09.717520,8
136,391,367,2025-05-22 13:36:09.717520,8
137,96,475,2025-10-21 07:36:09.717520,8
138,923,235,2025-11-03 04:36:09.717520,10
139,276,494,2025-08-12 10:36:09.717520,8
140,100,284,2025-07-10 04:36:09.717520,8
141,1042,400,2025-03-01 08:36:09.717520,8
142,263,54,2025-06-17 07:36:09.717520,8
143,660,259,2025-06-14 23:36:09.717520,11
144,509,141,2025-06-21 20:36:09.717520,11
145,928,413,2025-02-06 14:36:09.717520,8
146,1050,154,2025-11-25 03:36:09.717520,10
147,1134,324,2025-03-21 16:36:09.717520,8
148,596,352,2025-05-26 07:36:09.717520,8
149,365,258,2025-09-04 08:36:09.717520,8
150,237,390,2025-05-30 03:36:09.717520,8
151,1169,483,2025-11-07 08:36:09.717520,8
152,1094,147,2025-07-04 10:36:09.717520,8
153,52,196,2025-02-12 11:36:09.717520,8
154,410,137,2025-02-20 19:36:09.717520,8
155,300,430,2025-01-01 08:36:09.717520,8
156,418,386,2025-09-03 11:36:09.717520,8
157,927,53,2025-10-12 07:36:09.717520,8
158,460,381,2025-10-28 03:36:09.717520,8
159,1047,402,2025-11-21 19:36:09.717520,8
160,97,475,2025-06-13 22:36:09.717520,8
161,641,495,2025-09-08 11:36:09.717520,7
